years hunting,years hunted last 5,antlered harvest,antlerless harvest,land,land fee,trail cameras,hunt other states,which other state,archery bear,I hunt with the goal of harvesting an antlered deer only.,I do not care if I harvest an antlered or antlerless deer  as long as I get a deer.,archery hunt,archery wmu,archery days,archery antlered harvest,archery antlerless harvest,archery land,archery weapon,archery hunting camp,archery portable treestand,archery permanent treestand,archery urine lure,archery live in wmu,archery miles travelled,hunt opening day,firearm wmu,firearm antlered harvest,firearm antlerless harvest,days scouting,firearm land,Muzzleloader days,archery flintlock days,1st monday,1st tuesday,1st wednesday,1st thursday,1st friday,1st saturday,2nd monday,2nd tuesday,2nd wednesday,2nd thursday,2nd friday,2nd saturday,firearm hunting camp,firearm portable treestand,firearm permanent treestand,firearm urine lure,deer drive,firearm live in wmu,firearm miles travelled,age began,education,current home,start home,mentor,health,archery num,Base Hunting License,Resident Archery,Resident Muzzleloader,Non-resident Archery,Non-resident Muzzleloader,No. Antls Licenses - Resident,No. Antls Licenses - Resident Landowner,No. Antls Licenses for Special Regulations - Resident,No. Antls Licenses - Resident Military,No. Antls Licenses - Resident Disabled Vet,Priv 605,Priv 606,No. Antls Licenses - Non-resident,No. Antls Licenses - Non-resident Landowner,No. DMAP Permits - Resident,No. DMAP Permits - Non-resident,No. DMAP Permit - Resident,No. DMAP Permit - Non-resident
48,5,Yes,2,private,No,4,No,,No,Disagree,Neither Agree nor Disagree,Yes,4A,3-5 days,No,0,private,both,No,Yes,Yes,No,No,150,Yes,4A,Yes,2,2,private,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,,Thursday,Friday,Saturday,No,Yes,Yes,No,Yes,No,150,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),4,Resident Adult,Yes,Yes,,,1,,,,,,,,,,,,
40,3,No,0,private,No,0,No,,No,Neither Agree nor Disagree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,4A,No,0,1,private,2,0,Monday,Tuesday,,,Friday,Saturday,,,,,Friday,Saturday,Yes,No,Yes,No,No,No,60,18,High school or less,Rural town/village,County/rural,Other adult,Poor (significant health problems or injuries that affect my daily life and mobility),,Resident Senior,,,,,1,,,,,,,,,,,,
35,5,No,0,private,No,0,No,,No,Agree,Disagree,No,,,,,,,,,,,,,Yes,4A,No,0,1,private,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,,,,,,,,Yes,No,No,No,No,No,133,25,High school or less,Rural town/village,County/rural,Relative,Excellent (no health problems or injuries),,Resident Senior,,,,,,,,,,,,,,,,,
8,4,No,0,private,No,2,No,,No,Disagree,Agree,Yes,4A,11-15 days,No,0,private,crossbow,No,No,No,No,Yes,10,Yes,4A,No,0,10,private,0,5,Monday,,,,Friday,Saturday,,,,,Friday,Saturday,No,No,No,No,No,Yes,10,12,College graduate,Rural town/village,Rural town/village,Parent or Grandparent,Good (minor health problems or injuries),13,Resident Adult,Yes,,,,1,,,,,,,,,,,,
48,5,No,0,public,No,0,No,,No,Strongly Agree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,4A,No,0,3,public,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,,,,,No,No,No,No,No,No,200,16,Some college/vocational training,Suburban,Suburban,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
5,5,No,1,private,No,4,No,,No,Disagree,Disagree,No,,,,,,,,,,,,,Yes,4A,No,1,8,private,2,3,Monday,,,,,Saturday,,,,,,,No,No,Yes,No,No,No,150,10,High school or less,Suburban,Suburban,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Junior,,,,,2,,,,,,,,,,,,
40,5,Yes,1,both,Yes,0,No,,No,Strongly Disagree,Disagree,No,,,,,,,,,,,,,No,4A,Yes,1,2,both,0,0,,,,,,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Yes,No,Yes,No,Yes,No,110,12,Some college/vocational training,Rural town/village,Rural town/village,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,,,,2,,,,,,,,,,,,
36,5,No,0,private,No,0,No,,No,Agree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,4A,No,0,0,private,0,0,Monday,,,,,,,,,,,,No,No,Yes,No,No,Yes,0,12,Some college/vocational training,Country/rural,Rural town/village,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,1,,,,,,,,,,,,
4,5,Yes,0,private,No,5,No,,No,Strongly Agree,Strongly Disagree,No,,,,,,,,,,,,,Yes,4A,Yes,0,5,private,0,0,Monday,Tuesday,,,,Saturday,,,,,,,Yes,No,Yes,No,No,Yes,2,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Junior,,,,,,,,,,,,,,,,,
10,5,No,2,,No,0,No,,No,Strongly Disagree,Strongly Disagree,No,,,,,,,,,,,,,Yes,4A,No,2,0,private,0,0,Monday,Tuesday,Wednesday,,,Saturday,,,,,,Saturday,No,No,Yes,No,No,Yes,0,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,Yes,,,,3,,,,,,,,,,,,
29,5,No,0,both,No,0,No,,No,Strongly Agree,Disagree,No,,,,,,,,,,,,,Yes,4A,No,0,0,both,0,0,Monday,Tuesday,Wednesday,,,Saturday,,,,,,Saturday,No,No,No,No,Yes,Yes,8,8,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
31,5,No,1,both,No,2,Yes,MO,No,Strongly Agree,Neither Agree nor Disagree,Yes,5A,3-5 days,No,0,private,vertical bow.,No,Yes,Yes,No,Yes,1,Yes,4A,No,0,,both,0,0,Monday,,,,,Saturday,,,,,,Saturday,No,No,No,No,No,No,30,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),4,Resident Adult,Yes,,,,1,,,,,,,,,,,,
34,5,No,0,private,No,0,No,,No,Neither Agree nor Disagree,Agree,No,,,,,,,,,,,,,No,4A,No,0,1,private,0,0,,,,Thursday,Friday,Saturday,,,,Thursday,Friday,Saturday,Yes,No,No,No,Yes,Yes,20,13,High school or less,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,,,,1,,,,,,,,,,,,
60,5,No,0,private,No,0,No,,No,Agree,Agree,No,,,,,,,,,,,,,Yes,4A,No,0,0,private,0,0,Monday,,,,,Saturday,Monday,,,,Friday,Saturday,No,No,Yes,No,No,Yes,1,17,High school or less,Country/rural,County/rural,Parent or Grandparent,Poor (significant health problems or injuries that affect my daily life and mobility),,Resident Senior,,,,,1,,,,,,,,,,,,
10,5,No,0,private,No,3,No,,No,Strongly Agree,Strongly Disagree,Yes,4A,11-15 days,No,0,private,vertical bow.,No,Yes,Yes,Yes,Yes,20,Yes,4A,No,0,7,private,0,3,Monday,Tuesday,,,,Saturday,,,,,,Saturday,No,No,Yes,No,No,Yes,30,12,College graduate,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),13,Resident Adult,Yes,,,,,,,,,,,,,,,,
2,2,No,0,both,No,0,No,,No,Disagree,Agree,Yes,4A,6-10 days,No,0,both,both,No,No,No,No,No,10,Yes,4A,No,0,14,both,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,No,No,No,No,No,10,40,Some college/vocational training,Country/rural,County/rural,Other adult,Good (minor health problems or injuries),8,Resident Adult,,,,,,,,,,,,,,,,,
67,5,No,0,private,No,1,No,,No,Strongly Agree,Disagree,No,,,,,,,,,,,,,Yes,4A,No,0,3,private,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,,,,Saturday,No,No,No,No,No,Yes,7,14,High school or less,Rural town/village,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Senior,,,,,1,,,,,,,,,,,,
48,5,No,1,both,No,0,No,,No,Strongly Agree,Strongly Disagree,Yes,4A,3-5 days,No,0,both,crossbow,No,Yes,No,Yes,No,140,Yes,4A,No,0,2,both,1,2,Monday,Tuesday,,,,Saturday,,,,,,Saturday,No,Yes,No,No,No,No,140,14,High school or less,Country/rural,County/rural,Friend,Good (minor health problems or injuries),4,Resident Adult,Yes,Yes,,,2,,,,,,,,,,,,
14,5,No,0,private,No,0,No,,No,Disagree,Strongly Disagree,No,,,,,,,,,,,,,Yes,4A,No,0,0,private,0,0,Monday,Tuesday,,,,Saturday,,,,,,Saturday,No,No,No,No,No,No,4,12,College graduate,Rural town/village,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,,,,1,,,,,,,,,,,,
54,5,No,2,public,No,0,No,,Yes,Neither Agree nor Disagree,Disagree,Yes,4A,6-10 days,No,2,public,crossbow,No,No,No,No,Yes,20,Yes,4A,No,2,6,public,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,No,No,No,No,Yes,20,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Fair (some health problems or injuries that affect my daily life and mobility),8,Resident Senior,,,,,2,,,,,,,,,,,,
55,5,No,0,public,No,0,No,,No,,Strongly Agree,No,,,,,,,,,,,,,Yes,4A,No,0,21,public,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,,Wednesday,,Friday,Saturday,No,No,No,Yes,No,Yes,20,19,High school or less,Rural town/village,Rural town/village,Other adult,Good (minor health problems or injuries),,Resident Senior,,,,,2,,,,,,,,,,,,
43,5,No,0,private,No,0,No,,No,Neither Agree nor Disagree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,4A,,,10,private,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,No,Yes,Yes,Yes,Yes,10,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
10,5,Yes,0,public,No,0,No,,No,Neither Agree nor Disagree,Agree,Yes,4A,6-10 days,No,0,private,vertical bow.,No,Yes,No,No,Yes,1,Yes,4A,Yes,0,,public,0,0,Monday,,,,,Saturday,,,,,,Saturday,No,No,No,No,No,Yes,1,13,High school or less,Country/rural,County/rural,Friend,Excellent (no health problems or injuries),8,Resident Adult,Yes,,,,1,,,,,,,,,,,,
28,5,No,0,both,No,3,No,,No,Disagree,Agree,Yes,4A,11-15 days,No,0,private,both,No,No,No,No,Yes,5,Yes,4A,No,0,8,private,0,0,Monday,Tuesday,Wednesday,,,Saturday,,,,,Friday,Saturday,No,No,No,No,No,Yes,5,12,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),13,Resident Adult,Yes,,,,,,,,,,,,,,,,
5,5,No,1,private,No,1,No,,No,Neither Agree nor Disagree,Agree,Yes,4A,3-5 days,No,0,private,vertical bow.,No,Yes,No,No,Yes,1,Yes,4A,No,1,2,private,0,0,Monday,Tuesday,,,Friday,Saturday,,,Wednesday,,,Saturday,No,Yes,Yes,No,Yes,Yes,30,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),4,Resident Junior,,,,,1,,,,,,,,,,,,
11,5,No,0,both,No,0,No,,No,Strongly Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,4A,No,0,0,both,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,,,,Saturday,No,Yes,No,No,Yes,Yes,1,12,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
8,5,No,2,private,Yes,1,No,,No,Agree,Agree,Yes,4A,6-10 days,No,2,private,vertical bow.,Yes,Yes,No,Yes,Yes,10,Yes,4A,No,0,3,private,0,3,Monday,,,,Friday,Saturday,,,,,Friday,Saturday,Yes,Yes,No,Yes,Yes,Yes,10,10,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),8,Resident Junior,,,,,,,,,,,,,,,,,
65,5,No,0,private,No,3,No,,No,Neither Agree nor Disagree,Strongly Disagree,No,,,,,,,,,,,,,Yes,4A,No,0,40,private,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Yes,No,No,No,No,Yes,190,14,High school or less,City,City,Parent or Grandparent,Good (minor health problems or injuries),,Resident Senior,,,,,,,,,,,,,,,,,
54,5,No,0,both,No,0,No,,No,Strongly Disagree,Strongly Agree,Yes,4A,3-5 days,No,0,public,vertical bow.,No,No,No,No,No,20,Yes,4A,No,0,5,public,4,3,Monday,,Wednesday,,Friday,Saturday,Monday,Tuesday,,,,Saturday,No,No,No,No,No,No,20,12,High school or less,Rural town/village,County/rural,Parent or Grandparent,Good (minor health problems or injuries),4,Resident Senior,,,,,2,,,,,,,,,,,,
40,5,No,2,both,No,0,No,,No,Neither Agree nor Disagree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,4A,No,1,0,both,2,0,Monday,,,,,Saturday,,,,,Friday,Saturday,No,No,No,No,No,No,1,12,High school or less,Country/rural,County/rural,No one,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Adult,,Yes,,,1,,,,,,,,,,,,
25,5,No,2,private,No,0,No,,No,Neither Agree nor Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,4A,No,2,21,private,0,0,Monday,,Wednesday,Thursday,,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,No,Yes,No,No,Yes,10,12,Some college/vocational training,Country/rural,City,Parent or Grandparent,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Adult,,,,,2,,,,,,,,,,,,
28,5,No,0,both,No,7,No,,Yes,Strongly Agree,Strongly Disagree,Yes,4A,6-10 days,No,0,both,crossbow,No,No,Yes,No,No,130,Yes,4A,No,0,15,both,0,0,Monday,Tuesday,,,Friday,Saturday,,,,Thursday,Friday,Saturday,Yes,No,Yes,No,No,No,130,12,High school or less,Rural town/village,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),8,Resident Adult,Yes,Yes,,,1,,,,,,,,,,,,
24,5,No,1,private,No,1,No,,No,Disagree,Agree,Yes,4A,3-5 days,No,1,private,vertical bow.,Yes,Yes,No,No,No,70,Yes,4A,No,0,2,private,0,3,Monday,Tuesday,,,,,,,,,,,Yes,No,Yes,No,Yes,No,70,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),4,Resident Adult,Yes,,,,2,,,,,,,,,,,,
20,3,Yes,0,private,No,0,No,,No,Strongly Agree,Strongly Disagree,No,,,,,,,,,,,,,Yes,4A,Yes,0,4,private,0,0,Monday,,,,,,,,,,,,Yes,No,Yes,No,No,No,100,20,High school or less,Country/rural,County/rural,Friend,Good (minor health problems or injuries),,Resident Senior,,,,,,,,,,,,,,,,,
14,5,No,0,private,Yes,2,No,,No,Agree,Disagree,Yes,4A,3-5 days,No,0,private,crossbow,No,Yes,Yes,Yes,Yes,9,Yes,4A,No,0,5,private,0,2,Monday,,,,,Saturday,,,,,Friday,Saturday,No,Yes,Yes,Yes,No,Yes,9,12,College graduate,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),4,Resident Adult,Yes,,,,1,,,,,,,,,,,,
5,5,No,0,both,No,0,No,,,Disagree,Agree,No,,,,,,,,,,,,,Yes,4A,Yes,1,0,both,0,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,Yes,No,No,Yes,Yes,1,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Junior,,,,,1,,,,,,,,,,,,
10,3,No,0,private,No,0,No,,No,Agree,Agree,Yes,4A,More than 15 days,No,1,private,vertical bow.,No,No,No,No,Yes,4,Yes,4A,No,0,0,private,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,,,Friday,Saturday,No,No,No,No,No,Yes,4,17,High school or less,Country/rural,County/rural,Parent or Grandparent,Fair (some health problems or injuries that affect my daily life and mobility),20,Resident Adult,Yes,,,,,,,,,,,,,,,,
8,5,No,0,private,No,0,Yes,MD WV,No,Disagree,Agree,No,,,,,,,,,,,,,Yes,4A,No,0,1,private,0,0,Monday,Tuesday,,Thursday,,Saturday,,Tuesday,,,,Saturday,No,No,No,No,No,No,5,29,College graduate,Country/rural,,Relative,Good (minor health problems or injuries),,Non-Resident Adult,,,,,,,,,,,,1,,,,,
60,5,No,0,private,No,0,No,,No,Neither Agree nor Disagree,Strongly Disagree,No,,,,,,,,,,,,,Yes,4A,No,0,0,private,0,10,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,,,Yes,,,Yes,,0,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Senior,,,,,1,,,,,,,,,,,,
30,5,Yes,1,public,No,0,No,,No,Agree,Disagree,Yes,4A,1-2 days,No,0,public,crossbow,Yes,Yes,No,No,No,160,Yes,4A,Yes,0,1,public,0,0,Monday,Tuesday,,,,Saturday,,,,,,,Yes,Yes,No,No,No,No,160,14,High school or less,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),2,Resident Adult,Yes,,,,,,,,,,,,,,,,
1,1,No,1,private,No,0,No,,No,Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,4A,No,1,5,private,,,Monday,Tuesday,Wednesday,,,,,,,,,Saturday,,,Yes,,,,80,47,High school or less,Rural town/village,Rural town/village,Relative,Excellent (no health problems or injuries),,Resident Adult,,,,,2,,,,,,,,,,,,
33,5,No,0,private,Yes,0,No,,No,Agree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,4A,No,0,0,private,0,0,Monday,Tuesday,,,,Saturday,,,,,Friday,Saturday,No,No,No,No,No,Yes,5,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Adult,,,,,1,,,,,,,,,,,,
45,5,Yes,1,private,No,0,No,,No,Disagree,Agree,No,,,,,,,,,,,,,Yes,4A,Yes,1,0,private,0,2,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,,,,Saturday,No,Yes,No,No,Yes,Yes,0,14,College graduate,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,Yes,,,,,,,,,,,,,,,
3,3,No,0,private,No,0,No,,No,Agree,Strongly Agree,Yes,4A,3-5 days,No,0,private,crossbow,Yes,Yes,No,No,No,120,Yes,4A,No,0,0,private,0,0,Monday,Tuesday,,,,,,,,,,Saturday,Yes,Yes,No,No,No,No,120,12,High school or less,Suburban,Suburban,Parent or Grandparent,Excellent (no health problems or injuries),4,Resident Junior,,,,,1,,,,,,,,,,,,
10,5,No,0,private,No,0,No,,No,,Agree,No,,,,,,,,,,,,,Yes,4A,No,0,0,private,3,,Monday,Tuesday,,,,Saturday,,Tuesday,,,,Saturday,No,No,Yes,Yes,No,Yes,3,47,High school or less,Country/rural,County/rural,Friend,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Adult,Yes,Yes,,,2,,,,,,,,,,,,
62,5,No,0,both,No,0,Yes,VA,No,Strongly Agree,Strongly Disagree,No,,,,,,,,,,,,,Yes,4A,No,0,0,both,0,0,,,,,,Saturday,,,,,,,,,,,,,,,,,,,,,Resident Senior,,,,,1,,,,,,,,,,,,
21,5,Yes,0,public,No,0,No,,No,Strongly Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,4A,Yes,,0,public,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,No,No,No,No,Yes,5,12,High school or less,Country/rural,City,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,1,,,,,,,,,,,,
2,2,Yes,1,private,No,0,Yes,MD,No,Disagree,Agree,No,,,,,,,,,,,,,Yes,4A,Yes,1,0,private,10,,Monday,,,,,,Monday,,,,,,No,Yes,Yes,Yes,No,No,75,26,Some college/vocational training,Suburban,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Non-Resident Adult,,,,,,,,,,,,,,,,,
41,5,No,0,both,Yes,0,No,,No,Neither Agree nor Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,4B,No,0,3,both,0,0,Monday,Tuesday,,,Friday,Saturday,,,,Thursday,Friday,Saturday,No,No,No,Yes,No,Yes,10,12,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,Yes,Yes,,,1,,,,,,,,,,,,
42,5,No,0,both,No,4,No,,No,Neither Agree nor Disagree,Neither Agree nor Disagree,Yes,4B,11-15 days,No,0,both,crossbow,No,Yes,Yes,Yes,Yes,5,Yes,4B,No,0,7,both,7,12,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,Yes,Yes,Yes,Yes,Yes,5,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),13,Resident Adult,Yes,Yes,,,2,,,,,,,,,,,,
50,5,No,0,private,No,0,No,,No,Disagree,Agree,No,,,,,,,,,,,,,Yes,4B,No,0,2,private,0,3,Monday,,,,,Saturday,,,,,,Saturday,No,No,Yes,No,No,No,60,20,Some college/vocational training,Suburban,Suburban,Relative,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Senior,,,,,1,,,,,,,,,,,,
53,5,Yes,1,private,No,0,No,,No,Disagree,Disagree,Yes,4B,More than 15 days,No,1,private,crossbow,No,Yes,No,No,Yes,7,Yes,4B,Yes,0,1,private,0,4,Monday,,,,,,,,,,,,No,Yes,No,No,No,Yes,7,12,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),20,Resident Senior,,,,,1,,,,,,,,,,,,
47,5,Yes,0,private,No,0,No,,No,Strongly Agree,Strongly Disagree,No,,,,,,,,,,,,,Yes,4B,Yes,0,2,private,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,No,Yes,No,No,Yes,1,12,College graduate,Country/rural,City,Parent or Grandparent,Good (minor health problems or injuries),,Resident Senior,,,,,,,,,,,,,,,,,
1,1,No,0,both,No,1,No,,No,Neither Agree nor Disagree,Strongly Agree,Yes,5B,6-10 days,No,0,private,crossbow,No,Yes,No,Yes,No,11,Yes,4B,No,0,2,public,0,0,Monday,,,,,,,,,,,,Yes,No,No,No,No,No,128,13,High school or less,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),8,Resident Junior,,,,,2,,,,,,,,,,,,
30,5,No,0,public,No,0,No,,No,Strongly Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,4B,No,0,20,public,4,5,Monday,Tuesday,,,,Saturday,,,,,,Saturday,No,No,No,No,No,No,100,20,,,,No one,,,Resident Adult,Yes,Yes,,,2,,,,,,,,,,,,
39,5,No,0,private,No,0,No,,No,Agree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,4B,No,0,3,private,0,3,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,Wednesday,,Friday,Saturday,No,No,No,No,Yes,Yes,20,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,Yes,,,1,,,,,,,,,,,,
5,5,Yes,0,private,No,3,Yes,MD,No,Disagree,Neither Agree nor Disagree,Yes,4B,3-5 days,No,0,private,,No,Yes,Yes,Yes,No,135,Yes,4B,Yes,0,7,private,0,0,Monday,,,,,,,,,,,,No,Yes,Yes,Yes,No,No,135,12,High school or less,Suburban,Suburban,Parent or Grandparent,Excellent (no health problems or injuries),4,Non-Resident Adult,Yes,,,,,,,,,,,1,,,,,
41,5,No,0,public,No,0,No,,No,Neither Agree nor Disagree,Agree,No,,,,,,,,,,,,,Yes,4B,No,0,20,public,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,,,,Saturday,No,No,No,No,No,No,10,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
60,5,No,1,private,Yes,1,Yes,WV,No,Neither Agree nor Disagree,Disagree,Yes,4B,3-5 days,No,0,private,crossbow,Yes,No,Yes,No,No,50,Yes,4B,No,1,4,private,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,,,,Saturday,Yes,No,Yes,No,Yes,No,50,12,College graduate,Rural town/village,County/rural,Parent or Grandparent,Good (minor health problems or injuries),4,Resident Senior,Yes,,,,2,,,,,,,,,,,,
28,3,No,0,both,No,0,No,,No,Neither Agree nor Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,4B,No,0,1,both,0,0,Monday,,,,,,,,,,,Saturday,No,No,No,No,No,Yes,20,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,1,,,,,,,,,,,,
18,5,Yes,0,private,No,0,No,,No,Disagree,Agree,Yes,4B,3-5 days,No,,private,vertical bow.,No,Yes,No,No,No,50,Yes,4B,Yes,0,0,private,,5,Monday,,,,,,,,,,,,Yes,Yes,No,No,No,No,50,12,,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),4,Resident Adult,Yes,,,,1,,,,,,,,,,,,
34,5,Yes,0,both,Yes,2,Yes,WI,No,Disagree,Agree,Yes,4B,11-15 days,Yes,0,both,crossbow,Yes,Yes,Yes,No,No,96,No,4B,No,0,10,private,0,0,,,,,,Saturday,,,,,Friday,Saturday,Yes,Yes,Yes,No,No,No,96,12,Some college/vocational training,Suburban,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),13,Resident Adult,Yes,Yes,,,1,,,,,,,,,,,,
10,5,Yes,1,private,No,2,No,,No,Neither Agree nor Disagree,Agree,Yes,4B,More than 15 days,No,0,private,vertical bow.,No,No,No,Yes,Yes,6,Yes,4B,Yes,1,4,private,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,,,,,Saturday,No,No,No,No,No,Yes,6,7,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),20,Resident Junior,,,,,1,,,,,,,,,,,,
50,5,Yes,1,private,Yes,0,No,,No,Agree,Agree,No,,,,,,,,,,,,,Yes,4B,Yes,1,8,private,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Yes,No,Yes,No,No,Yes,8,12,High school or less,Country/rural,Suburban,Other adult,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Adult,,Yes,,,1,,,,,,,,,,,,
25,5,No,0,private,No,0,No,,No,Neither Agree nor Disagree,Agree,No,,,,,,,,,,,,,Yes,4B,No,0,10,private,0,0,Monday,,Wednesday,,Friday,Saturday,,,,,Friday,Saturday,No,Yes,No,No,No,Yes,0,13,College graduate,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
39,5,No,0,both,No,1,Yes,WV,No,Neither Agree nor Disagree,Strongly Agree,Yes,5C,6-10 days,No,0,private,both,No,Yes,No,No,Yes,10,Yes,4B,No,0,1,public,0,0,Monday,,,,,,Monday,,,,,,No,No,No,No,No,No,120,10,Some college/vocational training,Suburban,Suburban,Parent or Grandparent,Good (minor health problems or injuries),8,Resident Adult,Yes,,,,1,,1,,,,,,,,,,
